"","title","url","imdbRating","ratingCount","duration","year","type","nrOfWins","nrOfNominations","nrOfPhotos","nrOfNewsArticles","nrOfUserReviews","nrOfGenre","Action","Adult","Adventure","Animation","Biography","Comedy","Crime","Documentary","Drama","Family","Fantasy","FilmNoir","GameShow","History","Horror","Music","Musical","Mystery","News","RealityTV","Romance","SciFi","Short","Sport","TalkShow","Thriller","War","Western","Recommendation"
"4066","The Son of Samsonite","http://www.imdb.com/title/tt0361002/",7.7,"10","600",2002,"video.movie","1","0","0","0",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Good"
"4069","Wir leben nicht mehr hier","http://www.imdb.com/title/tt0361309/",6.4,"7405","6060",2004,"video.movie","3","3","83","48",71,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Average"
"4070","Liebe lieber indisch","http://www.imdb.com/title/tt0361411/",6.2,"14786","7320",2004,"video.movie","0","0","10","6",275,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Average"
"4071","Gokudô kyôfu dai-gekijô: Gozu","http://www.imdb.com/title/tt0361668/",7.2,"7207","7740",2003,"video.movie","5","2","3","31",79,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Good"
"4072","Journey to Safety: Making 'Tears of the Sun'","http://www.imdb.com/title/tt0361782/",5.4,"60","900",2003,"video.movie","0","0","0","0",3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Average"
"4073","Palindrome","http://www.imdb.com/title/tt0362004/",6.8,"9517","6000",2004,"video.movie","0","0","29","67",112,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Average"
"4074","Die Maske 2 - Die nächste Generation","http://www.imdb.com/title/tt0362165/",2.1,"30736","5640",2005,"video.movie","1","7","22","41",229,3,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Poor"
"4077","Die Tiefseetaucher","http://www.imdb.com/title/tt0362270/",7.3,"103434","7140",2004,"video.movie","4","9","84","343",619,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Good"
"4078","The Box","http://www.imdb.com/title/tt0362478/",5.6,"64311","6900",2009,"video.movie","0","0","49","707",354,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,"Average"
"4079","Gauner unter sich","http://www.imdb.com/title/tt0362526/",6.4,"8128","5220",2004,"video.movie","0","0","23","52",62,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Average"
"4080","Day for Night: The Making of 'Insomnia'","http://www.imdb.com/title/tt0362540/",5.3,"51","480",2002,"video.movie","0","0","0","0",0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Average"
"4081","A Director's Journey: The Making of 'Red Dragon'","http://www.imdb.com/title/tt0362552/",6.2,"61","2400",2003,"video.movie","0","0","0","0",1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Average"
"4082","Aan: Men at Work","http://www.imdb.com/title/tt0363409/",5.1,"1022","8940",2004,"video.movie","0","0","0","0",7,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Average"
"4085","Die Chroniken von Narnia - Der König von Narnia","http://www.imdb.com/title/tt0363771/",6.9,"218877","8580",2005,"video.movie","14","36","99","201",1449,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Average"
"4087","Taking Lives - Für Dein Leben würde er töten","http://www.imdb.com/title/tt0364045/",6.1,"53368","6180",2004,"video.movie","0","0","35","102",300,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"Average"
"4088","Ju-on","http://www.imdb.com/title/tt0364385/",6.7,"24712","5520",2002,"video.movie","1","1","8","195",177,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Average"
